category_id,name
69894,ACTION STARS
69893,CHILDREN'S LITERATURE
69892,CHILDREN'S LITERATURE
69891,CHILDREN'S LITERATURE
69890,AWARDS 1996
69889,FAMOUS MICHAELS
69888,VENOMOUS ANIMALS
69887,"""HOT"" & ""COLD"""
69886,CHILDREN'S LITERATURE
69885,CHILDREN'S LITERATURE
69884,DESTROYED
69883,7 MODERN WONDERS
69882,FEMININE NAMES
69881,THE 1996 OLYMPICS
69880,PHYSICIANS
69879,BIBLICAL FIRSTS
69878,AUTHORS' RHYME TIME
69877,AUTHORS' RHYME TIME
69876,AUTHORS' RHYME TIME
69875,AUTHORS' RHYME TIME
69874,THE FAMILY JULES
69873,VIRGIN TERRITORY
69872,AUTHORS' RHYME TIME
69871,"""IN"" PLACES"
69870,CINEMATIC SIBLINGS
69869,THE NATIONAL WOMEN'S HALL OF FAME
69868,THE NATIONAL WOMEN'S HALL OF FAME
69867,THE NATIONAL WOMEN'S HALL OF FAME
69866,SUITES
69865,ULTRA SCIENCE
69864,THE NATIONAL WOMEN'S HALL OF FAME
69863,THE NATIONAL WOMEN'S HALL OF FAME
69862,SPORTS '96
69861,SPORTS '96
69860,SPORTS '96
69859,SPORTS '96
69858,MYTHOLOGICAL MONSTERS
69857,SPORTS '96
69856,1989 BESTSELLERS
69855,OOPS
69854,OLD PLACES
69853,GLANDS
69852,STRIKES
69851,"""WALK""s"
69850,BUSINESS '96
69849,CHILDREN'S LIT
69848,BUSINESS '96
69847,CHILDREN'S LIT
69846,CHILDREN'S LIT
69845,CHILDREN'S LIT
69844,BARONS
69843,FORMER POSTAL WORKERS
69842,BUSINESS '96
69841,AMERICAN FICTIONAL CHARACTERS
69840,CHILDREN'S LIT
69839,BUSINESS '96
69838,BUSINESS '96
69837,BIRTHDAY'S THE SAME
69836,BIRTHDAY'S THE SAME
69835,BIRTHDAY'S THE SAME
69834,BIRTHDAY'S THE SAME
69833,AUTO HISTORY
69832,BIRTHDAY'S THE SAME
69831,EMPRESSES
69830,FILMS OF THE '80s
69829,FILMS OF THE '80s
69828,FILMS OF THE '80s
69827,NARRATORS
69826,FILMS OF THE '80s
69825,FILMS OF THE '80s
69824,ROOMS
69823,ROYAL MOTHERS
69822,INTERNATIONAL TRADE TERMS
69821,LAWYER—AUTHORS
69820,ROCK GUITARISTS
69819,"""B"" CITIES"
69818,BOB DOLE
69817,WARS & REVOLUTIONS
69816,THE 1995 GRAMMYS
69815,NEWSMAKERS OF THE '70s
69814,NEWSMAKERS OF THE '70s
69813,NEWSMAKERS OF THE '70s
69812,CHILDREN'S LITERATURE
69811,CANNES PALME D'OR WINNERS
69810,CANNES PALME D'OR WINNERS
69809,CHILDREN'S LITERATURE
69808,CHILDREN'S LITERATURE
69807,NEWSMAKERS OF THE '70s
69806,CHILDREN'S LITERATURE
69805,CANNES PALME D'OR WINNERS
69804,CHILDREN'S LITERATURE
69803,NEWSMAKERS OF THE '70s
69802,CANNES PALME D'OR WINNERS
69801,GREEK MYTHOLOGICAL GROUPS
69800,HISPANIC AMERICA
69799,4.O
69798,CANNES PALME D'OR WINNERS
69797,WE'RE NO. 1
69796,WE'RE NO. 1
69795,WE'RE NO. 1
69794,WE'RE NO. 1
