game_id,season_id,show_num,game_date,taped_date
8162,3,522,"Tuesday, December 9, 1986","Wednesday, September 17, 1986"
8160,1,167,"Tuesday, April 30, 1985","Monday, January 1, 0001"
8159,11,2367,"Tuesday, December 13, 1994","Monday, January 1, 0001"
8158,11,2366,"Monday, December 12, 1994","Monday, January 1, 0001"
8157,11,2364,"Thursday, December 8, 1994","Monday, January 1, 0001"
8156,11,2363,"Wednesday, December 7, 1994","Monday, January 1, 0001"
8155,11,2361,"Monday, December 5, 1994","Monday, January 1, 0001"
8154,10,2077,"Tuesday, September 21, 1993","Monday, January 1, 0001"
8153,10,2076,"Monday, September 20, 1993","Monday, January 1, 0001"
8152,10,2075,"Friday, September 17, 1993","Monday, January 1, 0001"
8151,10,2074,"Thursday, September 16, 1993","Monday, January 1, 0001"
8150,2,286,"Monday, October 14, 1985","Tuesday, July 30, 1985"
8149,11,2338,"Wednesday, November 2, 1994","Monday, January 1, 0001"
8148,11,2337,"Tuesday, November 1, 1994","Monday, January 1, 0001"
8147,11,2336,"Monday, October 31, 1994","Monday, January 1, 0001"
8145,11,2335,"Friday, October 28, 1994","Monday, January 1, 0001"
8144,11,2333,"Wednesday, October 26, 1994","Monday, January 1, 0001"
8143,11,2332,"Tuesday, October 25, 1994","Monday, January 1, 0001"
8142,10,2073,"Wednesday, September 15, 1993","Monday, January 1, 0001"
8141,1,172,"Tuesday, May 7, 1985","Monday, January 21, 1985"
8140,11,2331,"Monday, October 24, 1994","Monday, January 1, 0001"
8139,11,2330,"Friday, October 21, 1994","Monday, January 1, 0001"
8138,10,2072,"Tuesday, September 14, 1993","Monday, January 1, 0001"
8137,11,2329,"Thursday, October 20, 1994","Monday, January 1, 0001"
8136,11,2328,"Wednesday, October 19, 1994","Monday, January 1, 0001"
8135,10,2071,"Monday, September 13, 1993","Monday, January 1, 0001"
8133,11,2325,"Friday, October 14, 1994","Monday, January 1, 0001"
8132,11,2319,"Thursday, October 6, 1994","Monday, January 1, 0001"
8131,11,2317,"Tuesday, October 4, 1994","Monday, January 1, 0001"
8130,11,2314,"Thursday, September 29, 1994","Monday, January 1, 0001"
8129,11,2313,"Wednesday, September 28, 1994","Monday, January 1, 0001"
8128,1,174,"Thursday, May 9, 1985","Monday, January 21, 1985"
8127,11,2312,"Tuesday, September 27, 1994","Monday, January 1, 0001"
8126,11,2311,"Monday, September 26, 1994","Monday, January 1, 0001"
