season_id,start_date,end_date
39,"Monday, September 12, 2022","Friday, July 28, 2023"
38,"Monday, September 13, 2021","Friday, July 29, 2022"
37,"Monday, September 14, 2020","Friday, August 13, 2021"
36,"Monday, September 9, 2019","Friday, June 12, 2020"
35,"Monday, September 10, 2018","Friday, July 26, 2019"
34,"Monday, September 11, 2017","Friday, July 27, 2018"
33,"Monday, September 12, 2016","Friday, July 28, 2017"
32,"Monday, September 14, 2015","Friday, July 29, 2016"
31,"Monday, September 15, 2014","Friday, July 31, 2015"
30,"Monday, September 16, 2013","Friday, August 1, 2014"
29,"Monday, September 17, 2012","Friday, August 2, 2013"
28,"Monday, September 19, 2011","Friday, August 3, 2012"
27,"Monday, September 13, 2010","Friday, July 29, 2011"
26,"Monday, September 14, 2009","Friday, July 30, 2010"
25,"Monday, September 8, 2008","Friday, July 24, 2009"
24,"Monday, September 10, 2007","Friday, July 25, 2008"
23,"Monday, September 11, 2006","Friday, July 27, 2007"
22,"Monday, September 12, 2005","Friday, July 28, 2006"
21,"Monday, September 6, 2004","Friday, July 22, 2005"
20,"Monday, September 8, 2003","Friday, July 23, 2004"
19,"Monday, September 2, 2002","Friday, July 18, 2003"
18,"Monday, September 3, 2001","Friday, July 19, 2002"
17,"Monday, September 4, 2000","Friday, July 20, 2001"
16,"Monday, September 6, 1999","Friday, July 21, 2000"
15,"Monday, September 7, 1998","Friday, July 23, 1999"
14,"Monday, September 1, 1997","Friday, July 17, 1998"
13,"Monday, September 2, 1996","Friday, July 18, 1997"
12,"Monday, September 4, 1995","Friday, July 19, 1996"
11,"Monday, September 5, 1994","Friday, July 21, 1995"
10,"Monday, September 6, 1993","Friday, July 22, 1994"
9,"Monday, September 7, 1992","Friday, July 23, 1993"
8,"Monday, September 2, 1991","Friday, July 17, 1992"
7,"Monday, September 3, 1990","Friday, July 19, 1991"
6,"Monday, September 4, 1989","Friday, July 20, 1990"
5,"Monday, September 5, 1988","Friday, July 21, 1989"
4,"Monday, September 7, 1987","Friday, July 22, 1988"
3,"Monday, September 8, 1986","Friday, July 24, 1987"
2,"Monday, September 9, 1985","Friday, June 6, 1986"
1,"Monday, September 10, 1984","Friday, June 7, 1985"
